,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,result
269,100000,10,0.0001,139T,203.33333333333331,1946T,"{'BuyLossPercent': 0.010777777777777777, 'SellLossPercent': 0.010777777777777777}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",139,1946,-0.7482
270,100000,10,0.0001,453T,74.44444444444444,603T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",453,603,-0.9998
271,100000,10,0.0001,571T,300.0,1442T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",571,1442,-0.8312
272,100000,10,0.0001,217T,106.66666666666666,2114T,"{'BuyLossPercent': 0.010777777777777777, 'SellLossPercent': 0.010777777777777777}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",217,2114,-0.9679
273,100000,10,0.0001,178T,171.11111111111111,1275T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.0034444444444444444, 'BuyTakePercent': 0.0034444444444444444}",178,1275,-0.8002
274,100000,10,0.0001,375T,106.66666666666666,2114T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",375,2114,-0.9998
275,100000,10,0.0001,100T,235.55555555555554,435T,"{'BuyLossPercent': 0.009555555555555553, 'SellLossPercent': 0.009555555555555553}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",100,435,-0.5375
276,100000,10,0.0001,453T,267.77777777777777,435T,"{'BuyLossPercent': 0.008333333333333331, 'SellLossPercent': 0.008333333333333331}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",453,435,-0.7312
277,100000,10,0.0001,492T,74.44444444444444,1778T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.007111111111111111, 'BuyTakePercent': 0.007111111111111111}",492,1778,-1.0
278,100000,10,0.0001,375T,203.33333333333331,603T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",375,603,-0.8555
279,100000,10,0.0001,610T,235.55555555555554,2282T,"{'BuyLossPercent': 0.009555555555555553, 'SellLossPercent': 0.009555555555555553}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",610,2282,-0.828
280,100000,10,0.0001,610T,74.44444444444444,100T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.010777777777777777, 'BuyTakePercent': 0.010777777777777777}",610,100,-1.0
281,100000,10,0.0001,139T,267.77777777777777,2114T,"{'BuyLossPercent': 0.010777777777777777, 'SellLossPercent': 0.010777777777777777}","{'SellTakePercent': 0.007111111111111111, 'BuyTakePercent': 0.007111111111111111}",139,2114,-0.7947
282,100000,10,0.0001,139T,267.77777777777777,100T,"{'BuyLossPercent': 0.0034444444444444444, 'SellLossPercent': 0.0034444444444444444}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",139,100,-0.9349
283,100000,10,0.0001,532T,10.0,939T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.0022222222222222222, 'BuyTakePercent': 0.0022222222222222222}",532,939,-1.0
284,100000,10,0.0001,571T,106.66666666666666,1107T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.010777777777777777, 'BuyTakePercent': 0.010777777777777777}",571,1107,-0.9999
285,100000,10,0.0001,375T,74.44444444444444,1946T,"{'BuyLossPercent': 0.005888888888888888, 'SellLossPercent': 0.005888888888888888}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",375,1946,-1.0006
286,100000,10,0.0001,178T,171.11111111111111,603T,"{'BuyLossPercent': 0.005888888888888888, 'SellLossPercent': 0.005888888888888888}","{'SellTakePercent': 0.007111111111111111, 'BuyTakePercent': 0.007111111111111111}",178,603,-0.9902
287,100000,10,0.0001,532T,10.0,603T,"{'BuyLossPercent': 0.009555555555555553, 'SellLossPercent': 0.009555555555555553}","{'SellTakePercent': 0.010777777777777777, 'BuyTakePercent': 0.010777777777777777}",532,603,-0.9999
288,100000,10,0.0001,296T,138.88888888888889,2114T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.0034444444444444444, 'BuyTakePercent': 0.0034444444444444444}",296,2114,-0.9998
289,100000,10,0.0001,217T,300.0,939T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.0022222222222222222, 'BuyTakePercent': 0.0022222222222222222}",217,939,-0.7794
290,100000,10,0.0001,571T,42.22222222222222,100T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",571,100,-1.0
