,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,result
30,100000,10,0.0001,161T,325.0,1666T,"{'BuyLossPercent': 0.006999999999999999, 'SellLossPercent': 0.006999999999999999}","{'SellTakePercent': 0.011, 'BuyTakePercent': 0.011}",161,1666,-0.8674
31,100000,10,0.0001,100T,175.0,1666T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",100,1666,-0.9985
32,100000,10,0.0001,527T,325.0,1666T,"{'BuyLossPercent': 0.006999999999999999, 'SellLossPercent': 0.006999999999999999}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",527,1666,-0.6357
33,100000,10,0.0001,344T,400.0,1144T,"{'BuyLossPercent': 0.005, 'SellLossPercent': 0.005}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",344,1144,-0.3504
34,100000,10,0.0001,466T,325.0,100T,"{'BuyLossPercent': 0.011, 'SellLossPercent': 0.011}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",466,100,-0.6356
35,100000,10,0.0001,100T,100.0,1927T,"{'BuyLossPercent': 0.005, 'SellLossPercent': 0.005}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",100,1927,-0.9999
36,100000,10,0.0001,161T,250.0,2450T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",161,2450,-0.972
37,100000,10,0.0001,100T,325.0,1405T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.009999999999999998, 'BuyTakePercent': 0.009999999999999998}",100,1405,-0.7344
38,100000,10,0.0001,161T,175.0,622T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.011, 'BuyTakePercent': 0.011}",161,622,-0.945
39,100000,10,0.0001,222T,100.0,2450T,"{'BuyLossPercent': 0.006999999999999999, 'SellLossPercent': 0.006999999999999999}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",222,2450,-0.9926
40,100000,10,0.0001,650T,175.0,100T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",650,100,-0.9993
41,100000,10,0.0001,650T,400.0,100T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",650,100,-0.9926
42,100000,10,0.0001,100T,250.0,2450T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",100,2450,-0.9271
43,100000,10,0.0001,161T,400.0,2188T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",161,2188,-0.9841
44,100000,10,0.0001,161T,175.0,2450T,"{'BuyLossPercent': 0.006999999999999999, 'SellLossPercent': 0.006999999999999999}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",161,2450,-0.9699
45,100000,10,0.0001,222T,250.0,100T,"{'BuyLossPercent': 0.011, 'SellLossPercent': 0.011}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",222,100,-0.8913
46,100000,10,0.0001,405T,325.0,2188T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",405,2188,-1.0003
47,100000,10,0.0001,588T,175.0,100T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",588,100,-0.9822
48,100000,10,0.0001,222T,400.0,1927T,"{'BuyLossPercent': 0.005, 'SellLossPercent': 0.005}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",222,1927,-0.5367
49,100000,10,0.0001,650T,100.0,1927T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.006, 'BuyTakePercent': 0.006}",650,1927,-1.0
50,100000,10,0.0001,222T,250.0,883T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",222,883,-0.9977
51,100000,10,0.0001,100T,175.0,100T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",100,100,-0.9673
52,100000,10,0.0001,527T,400.0,622T,"{'BuyLossPercent': 0.011, 'SellLossPercent': 0.011}","{'SellTakePercent': 0.008, 'BuyTakePercent': 0.008}",527,622,-0.1297
53,100000,10,0.0001,588T,250.0,2188T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",588,2188,-0.9991
54,100000,10,0.0001,466T,100.0,1144T,"{'BuyLossPercent': 0.009999999999999998, 'SellLossPercent': 0.009999999999999998}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",466,1144,-0.9898
55,100000,10,0.0001,161T,100.0,622T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",161,622,-0.9997
