,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,variance_ratio_lookback,variance_ration_carette,result,total_pnl
130,100000,10,0.0001,950T,200.0,414T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",950,414,1 days 07:40:00,0 days 00:47:30,-1.0001,-1081307.2293013067
131,100000,10,0.0001,898T,60.0,60T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",898,60,1 days 05:56:00,0 days 02:59:36,-1.0001,-1197071.8292334112
132,100000,10,0.0001,225T,200.0,343T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",225,343,0 days 07:30:00,0 days 00:45:00,-0.984,-42902.97251366286
133,100000,10,0.0001,225T,153.33333333333331,166T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",225,166,0 days 07:30:00,0 days 00:45:00,-0.9913,-46209.64521509761
134,100000,10,0.0001,173T,200.0,272T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",173,272,0 days 05:46:00,0 days 00:34:36,-1.0015,-141972.39037083086
135,100000,10,0.0001,898T,200.0,272T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",898,272,1 days 05:56:00,0 days 00:44:54,-1.0005,-143633.1584808144
136,100000,10,0.0001,587T,200.0,308T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",587,308,0 days 19:34:00,0 days 00:29:21,-0.9867,-58301.69302379218
137,100000,10,0.0001,950T,60.0,379T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",950,379,1 days 07:40:00,0 days 03:10:00,-0.9999,-850727.2779918467
138,100000,10,0.0001,432T,106.66666666666666,130T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",432,130,0 days 14:24:00,0 days 01:26:24,-0.9999,-2050214.0631769416
139,100000,10,0.0001,121T,60.0,60T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",121,60,0 days 04:02:00,0 days 00:24:12,-1.0006,-249949.5920865016
140,100000,10,0.0001,380T,60.0,379T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",380,379,0 days 12:40:00,0 days 01:16:00,-1.0,-2965882.0813468127
141,100000,10,0.0001,639T,60.0,308T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",639,308,0 days 21:18:00,0 days 02:07:48,-1.0,-6589760.766923665
142,100000,10,0.0001,484T,153.33333333333331,343T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",484,343,0 days 16:08:00,0 days 01:36:48,-0.9737,-76352.56646445025
143,100000,10,0.0001,121T,106.66666666666666,450T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",121,450,0 days 04:02:00,0 days 00:06:03,-0.9963,-315851.0561972514
144,100000,10,0.0001,484T,60.0,414T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",484,414,0 days 16:08:00,0 days 00:24:12,-1.0,-4643913.309820792
145,100000,10,0.0001,691T,106.66666666666666,414T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",691,414,0 days 23:02:00,0 days 00:34:33,-0.9936,-205727.14460506875
146,100000,10,0.0001,742T,60.0,60T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",742,60,1 days 00:44:00,0 days 00:37:06,-0.9996,-977287.0433539478
147,100000,10,0.0001,328T,153.33333333333331,379T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",328,379,0 days 10:56:00,0 days 00:16:24,-0.8175,-28035.62599995675
148,100000,10,0.0001,380T,153.33333333333331,95T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",380,95,0 days 12:40:00,0 days 00:19:00,-0.9896,-128943.5974733795
149,100000,10,0.0001,173T,200.0,166T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",173,166,0 days 05:46:00,0 days 00:34:36,-0.8498,-21236.04277893352
150,100000,10,0.0001,277T,200.0,379T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",277,379,0 days 09:14:00,0 days 00:13:51,-0.8903,-26147.339126823743
151,100000,10,0.0001,691T,106.66666666666666,343T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",691,343,0 days 23:02:00,0 days 02:18:12,-0.9995,-262598.7034634888
